,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
449,2015-05-09,CIN,CHW,CIN,4.0,10.0,14.0,10.0,15.0,0.4,14.0,14.0,0.5,0.62,0.91,1
448,2015-05-09,ATL,WSH,WSH,8.0,6.0,14.0,15.0,15.0,0.5,14.0,15.0,0.4827586206896552,1.15,1.08,1
447,2015-05-09,BAL,NYY,BAL,2.0,6.0,8.0,19.0,11.0,0.6333333333333333,12.0,15.0,0.4444444444444444,1.37,0.9,1
446,2015-05-09,SD,ARI,SD,4.0,6.0,10.0,13.0,15.0,0.4642857142857143,16.0,15.0,0.5161290322580645,0.94,1.14,1
445,2015-05-09,STL,PIT,PIT,7.0,5.0,12.0,13.0,16.0,0.4482758620689655,22.0,7.0,0.7586206896551724,0.86,1.25,1
443,2015-05-09,HOU,LAA,HOU,5.0,6.0,11.0,14.0,16.0,0.4666666666666667,19.0,11.0,0.6333333333333333,1.16,1.54,1
442,2015-05-09,CIN,CHW,CHW,8.0,2.0,10.0,10.0,16.0,0.38461538461538464,15.0,14.0,0.5172413793103449,0.56,0.95,1
441,2015-05-09,CHC,MIL,MIL,12.0,4.0,16.0,9.0,21.0,0.3,15.0,13.0,0.5357142857142857,0.3,1.04,1
440,2015-05-09,MIA,SF,MIA,2.0,6.0,8.0,15.0,15.0,0.5,14.0,16.0,0.4666666666666667,0.93,0.9,1
439,2015-05-09,BOS,TOR,TOR,7.0,1.0,8.0,15.0,15.0,0.5,13.0,16.0,0.4482758620689655,1.05,0.85,1
438,2015-05-09,OAK,SEA,SEA,7.0,2.0,9.0,12.0,17.0,0.4137931034482759,12.0,19.0,0.3870967741935484,0.8,0.68,1
437,2015-05-09,TEX,TB,TB,7.0,2.0,9.0,16.0,14.0,0.5333333333333333,12.0,17.0,0.4137931034482759,1.07,0.78,1
444,2015-05-09,KC,DET,KC,2.0,6.0,8.0,19.0,11.0,0.6333333333333333,18.0,11.0,0.6206896551724138,1.54,1.56,1
466,2015-05-10,SD,ARI,ARI,2.0,1.0,3.0,13.0,16.0,0.4482758620689655,17.0,15.0,0.53125,0.86,1.15,1
461,2015-05-10,OAK,SEA,SEA,4.0,3.0,7.0,13.0,17.0,0.43333333333333335,12.0,20.0,0.375,0.79,0.59,1
464,2015-05-10,ATL,WSH,WSH,5.0,4.0,9.0,16.0,15.0,0.5161290322580645,14.0,16.0,0.4666666666666667,1.16,0.98,1
463,2015-05-10,CIN,CHW,CHW,4.0,3.0,7.0,11.0,16.0,0.4074074074074074,15.0,15.0,0.5,0.59,0.9,1
462,2015-05-10,MIA,SF,SF,3.0,2.0,5.0,15.0,16.0,0.4838709677419355,15.0,16.0,0.4838709677419355,0.89,1.02,1
460,2015-05-10,NYM,PHI,NYM,4.0,7.0,11.0,11.0,20.0,0.3548387096774194,19.0,11.0,0.6333333333333333,0.54,1.33,1
465,2015-05-10,CHC,MIL,MIL,3.0,2.0,5.0,10.0,21.0,0.3225806451612903,15.0,14.0,0.5172413793103449,0.33,0.95,1
458,2015-05-10,BOS,TOR,BOS,3.0,6.0,9.0,16.0,15.0,0.5161290322580645,13.0,17.0,0.43333333333333335,1.07,0.81,1
452,2015-05-10,KC,DET,KC,1.0,2.0,3.0,19.0,12.0,0.6129032258064516,19.0,11.0,0.6333333333333333,1.55,1.51,1
453,2015-05-10,TEX,TB,TEX,1.0,2.0,3.0,17.0,14.0,0.5483870967741935,12.0,18.0,0.4,1.09,0.72,1
454,2015-05-10,MIN,CLE,CLE,8.0,2.0,10.0,10.0,19.0,0.3448275862068966,18.0,13.0,0.5806451612903226,0.48,1.22,1
459,2015-05-10,LAD,COL,LAD,5.0,9.0,14.0,11.0,16.0,0.4074074074074074,19.0,10.0,0.6551724137931034,0.79,1.4,1
456,2015-05-10,BAL,NYY,NYY,6.0,2.0,8.0,19.0,12.0,0.6129032258064516,13.0,15.0,0.4642857142857143,1.43,1.0,1
457,2015-05-10,HOU,LAA,LAA,3.0,1.0,4.0,14.0,17.0,0.4516129032258064,20.0,11.0,0.6451612903225806,1.05,1.46,1
455,2015-05-10,STL,PIT,PIT,4.0,3.0,7.0,14.0,16.0,0.4666666666666667,22.0,8.0,0.7333333333333333,0.94,1.27,1
476,2015-05-11,TOR,BAL,BAL,5.0,2.0,7.0,13.0,16.0,0.4482758620689655,16.0,16.0,0.5,0.86,1.03,1
474,2015-05-11,ATL,CIN,ATL,1.0,2.0,3.0,15.0,16.0,0.4838709677419355,14.0,17.0,0.4516129032258064,0.89,0.8,1
473,2015-05-11,KC,TEX,TEX,8.0,2.0,10.0,13.0,18.0,0.41935483870967744,20.0,11.0,0.6451612903225806,0.75,1.26,1
475,2015-05-11,WSH,ARI,WSH,1.0,11.0,12.0,14.0,16.0,0.4666666666666667,17.0,15.0,0.53125,0.8,1.12,1
